#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_0002	696	871	624	862	734	460	886	618	350	599
SL1344_0003	867	1466	876	883	826	280	1069	702	503	1030
SL1344_0004	1503	2770	1657	1876	1665	634	2127	1394	1005	1421
SL1344_0005	415	712	385	585	488	346	754	520	464	375
SL1344_0006	292	296	153	250	195	109	320	198	173	290
SL1344_0007	10070	18323	9434	13843	12511	3239	14785	10911	11967	9785
SL1344_0008	783	780	554	833	599	212	610	562	598	618
SL1344_0009	1496	1762	2150	2231	1513	649	1684	1701	908	1475
SL1344_0010	41	64	39	53	38	14	42	20	26	40
SL1344_0011	46	46	58	35	36	10	58	23	17	39
SL1344_0012	12434	48517	39491	8264	24934	8497	22500	34211	4203	25097
SL1344_0013	4126	14622	10537	1864	6141	2401	4954	7076	1445	5454
SL1344_0014	207	342	282	105	213	61	225	211	53	361
SL1344_0015	23	43	33	11	21	5	31	33	5	34
SL1344_0016	11	31	7	10	8	4	17	9	4	6
SL1344_0017	17	39	16	26	7	4	34	30	17	32
SL1344_0018	294	372	159	241	123	86	300	158	127	157
SL1344_0019	143	153	69	86	66	37	109	57	51	73
SL1344_0020	9	8	6	7	15	7	3	5	28	13
SL1344_0021	63	70	32	44	34	18	51	24	23	29
SL1344_0022	12	9	8	8	4	1	20	4	2	5
SL1344_0023	177	348	112	149	141	45	249	125	80	166
SL1344_0024	44	52	21	34	33	15	63	29	25	32
SL1344_0025	22	32	18	20	12	21	27	15	11	11
SL1344_0026	0	0	9	9	2	3	11	6	0	9
SL1344_0027	40	37	27	28	16	2	29	18	9	30
SL1344_0028	174	240	162	194	147	69	159	124	114	121
SL1344_0029	90	113	77	73	75	31	132	96	50	84
SL1344_0030	6	6	0	22	3	0	4	7	6	2
SL1344_0031	17	37	13	28	25	2	49	31	15	42
SL1344_0032	19	13	19	23	20	1	20	19	11	16
SL1344_0033	199	274	112	94	96	50	152	94	112	84
SL1344_0034	123	191	98	102	98	52	163	76	56	83
SL1344_0035	3	6	0	7	8	1	15	6	6	0
SL1344_0036	136	343	87	128	113	68	263	78	80	119
SL1344_0037	51	108	36	48	33	16	79	38	26	42
SL1344_0038	34	29	8	19	17	10	23	14	5	26
SL1344_0039	305	483	173	300	209	125	537	276	211	250
SL1344_0040	1396	2544	1198	1606	1556	738	2122	1346	1065	1361
SL1344_0041	1017	1583	855	1089	939	605	1569	878	613	801
SL1344_0042	252	301	162	217	169	87	254	127	104	128
SL1344_0043	52	65	24	40	37	16	55	39	28	52
SL1344_0044	16445	18294	15732	21899	15296	10099	20565	15806	13505	16251
SL1344_0045	56	32	22	37	13	13	33	26	8	25
SL1344_0046	3580	5380	3304	3478	3134	1168	3087	2718	2972	2727
SL1344_0047	8864	13442	7758	8105	7187	4380	8470	6829	7877	6332
SL1344_0048	496	703	419	463	356	196	544	348	320	513
SL1344_0049	1256	1738	937	1235	972	591	1319	848	968	1075
SL1344_0050	2504	3030	1645	2258	1506	965	2282	1541	1630	1752
SL1344_0051	1388	1664	957	1127	834	282	1308	858	811	1129
SL1344_0052	664	1072	777	777	655	159	989	614	385	997
SL1344_0053	137	276	127	162	166	53	183	113	86	162
SL1344_0054	105	187	86	70	136	45	125	76	48	111
SL1344_0055	7	14	7	2	8	3	3	4	1	0
SL1344_0056	0	0	0	0	0	0	0	0	0	0
SL1344_0057	5	7	4	4	2	6	6	2	0	17
SL1344_0058	8	23	11	18	11	6	7	4	2	20
SL1344_0059	12	25	11	15	5	11	13	13	5	11
SL1344_0060	2	15	6	6	10	2	11	7	4	10
SL1344_0061	28	52	14	26	13	19	17	26	16	18
SL1344_0062	38	56	26	30	17	13	29	30	6	19
SL1344_0063	7	14	14	9	3	0	13	4	3	14
SL1344_0064	38	49	22	40	30	14	39	18	40	24
SL1344_0065	503	891	519	584	447	201	706	496	391	438
SL1344_0067	421	572	444	575	390	183	529	398	414	418
SL1344_0068	1062	1435	937	1190	948	424	1252	1026	911	900
SL1344_0069	133	192	96	155	111	67	195	107	73	118
SL1344_0070	9	22	17	17	23	4	12	21	17	27
SL1344_0071	33	33	10	23	27	10	33	35	12	25
SL1344_0072	65	70	47	62	58	20	64	40	24	77
SL1344_0074	91	74	57	67	90	20	58	67	68	88
SL1344_0075	8	20	10	9	19	4	10	8	6	12
SL1344_0076	46	63	29	39	53	15	75	27	40	34
SL1344_0077	18	22	3	18	9	6	10	10	6	18
SL1344_0078	16	22	3	14	6	14	5	6	6	5
SL1344_0079	4	6	0	1	0	0	2	1	2	1
SL1344_0080	180	221	97	168	110	34	185	86	70	130
SL1344_0081	142	510	23	15	12	32	588	13	11	25
SL1344_0082	1168	1501	494	616	675	183	1195	619	594	521
SL1344_0083	110	155	48	90	72	29	136	64	61	64
SL1344_0084	441	588	282	385	274	109	580	246	206	406
SL1344_0086	31	97	16	30	26	23	58	22	25	20
SL1344_0087	487	1155	270	353	336	203	429	265	276	241
SL1344_0088	917	1491	915	1015	842	323	1328	918	972	949
SL1344_0089	4303	4403	2362	3902	2726	806	3296	2111	2525	3039
SL1344_0090	1378	1826	948	1503	945	281	1321	984	949	1022
SL1344_0091	1967	2075	1220	2031	1367	536	1947	1212	1294	1496
SL1344_0092	2472	2612	1579	2591	1934	667	2258	1664	2090	1730
SL1344_0093	8213	10783	5714	8625	6132	3241	8882	5949	6672	5296
SL1344_0094	9873	13311	7561	9710	7437	3295	10377	6482	6968	7781
SL1344_0095	2811	3658	1993	2296	1787	618	2742	2036	2169	1970
SL1344_0096	1022	933	694	1161	575	577	989	741	780	738
SL1344_0097	4408	5244	3878	5930	3079	2324	5410	3737	3261	3605
SL1344_0098	814	649	428	643	403	172	607	409	355	549
SL1344_0099	203	96	86	135	106	52	110	92	114	71
SL1344_0100	100	97	60	73	50	24	97	52	46	58
SL1344_0101	13	25	7	9	25	3	19	1	15	13
SL1344_0102	28	46	13	30	26	13	21	7	16	11
SL1344_0103	24	17	8	8	23	3	4	14	4	2
SL1344_0104	104	104	55	54	97	31	84	84	54	83
SL1344_0105	520	499	199	329	213	151	452	190	152	246
SL1344_0106	154	180	115	189	139	93	197	116	155	141
SL1344_0107	146	145	115	139	99	70	144	95	113	139
SL1344_0108	1034	1361	801	817	669	352	1037	631	585	767
SL1344_0109	195	329	176	186	178	105	257	168	113	206
SL1344_0109A	227	289	130	157	226	73	201	205	393	99
SL1344_0110	229	290	154	271	260	54	251	136	117	190
SL1344_0111	321	343	199	240	188	93	239	152	105	152
SL1344_0112	163	163	82	139	111	59	165	96	64	106
SL1344_0113	451	347	222	305	231	136	315	194	82	235
SL1344_0114	384	174	124	188	317	190	180	139	219	63
SL1344_0115	38	19	13	23	18	13	34	11	15	18
SL1344_0116	371	606	180	183	298	119	227	130	147	201
SL1344_0117	341	626	199	191	246	93	229	104	134	102
SL1344_0118	882	1526	794	989	1031	311	1011	842	1051	929
SL1344_0119	5766	10163	6064	6495	5654	1331	9241	5066	3730	6860
SL1344_0120	5626	8659	4267	5094	3852	1646	6149	3782	3536	4506
SL1344_0121	1469	2017	902	1156	876	459	1534	832	721	1043
SL1344_0122	6194	7492	3835	4914	4596	1649	5552	4069	5105	2876
SL1344_0123	7839	12128	5807	5864	5387	2252	6062	4016	4910	4318
SL1344_0124	2352	2959	1636	2129	1494	679	2311	1294	1404	1865
SL1344_0125	2006	2185	1135	1788	1399	817	1775	1184	1216	1251
SL1344_0126	3157	3944	2232	3014	2250	1112	3040	1757	1731	2363
SL1344_0127	2733	2749	1499	2152	1487	588	2187	1343	1243	1737
SL1344_0128	2258	2919	1558	2317	1388	678	2213	1375	1316	1544
SL1344_0129	5782	7194	4583	6540	4582	1359	6731	4086	4065	4800
SL1344_0130	3398	4515	2201	3149	1981	802	3555	1936	1824	2586
SL1344_0131	8437	11861	6513	9163	5807	1566	10561	5396	4899	6184
SL1344_0132	15333	21059	10630	14573	10112	3142	16514	9464	10009	9973
SL1344_0133	3927	5931	2939	4073	2964	1720	5336	3251	2690	3221
SL1344_0134	5462	6293	3908	5736	3902	2615	6436	4054	3476	5101
SL1344_0135	1516	1363	842	1462	894	294	1214	853	693	1384
SL1344_0136	15820	18435	10460	16475	10673	4682	14725	10441	11214	11362
SL1344_0137	1194	2355	593	715	601	278	1320	503	634	451
SL1344_0138	816	941	662	839	685	239	819	600	543	647
SL1344_0139	571	802	543	585	577	274	746	521	441	566
SL1344_0140	652	730	459	1108	856	229	950	719	766	839
SL1344_0141	5096	9311	4075	4749	4438	2022	7587	3846	3585	4559
SL1344_0142	34	32	26	36	29	1	26	25	17	15
SL1344_0143	13	9	8	14	10	4	8	9	7	17
SL1344_0144	10	6	6	8	3	1	12	3	3	5
SL1344_0145	258	268	175	366	258	171	478	243	279	198
SL1344_0146	661	600	284	399	292	120	463	230	345	337
SL1344_0147	256	290	157	200	174	108	269	164	169	148
SL1344_0148	105	113	37	83	69	10	88	49	48	73
SL1344_0149	80	91	39	78	39	31	72	57	30	59
SL1344_0150	602	875	515	743	655	272	715	623	766	382
SL1344_0151	11121	12855	6098	9888	6301	2919	9395	7959	9447	7005
SL1344_0152	62021	76146	44516	80707	45305	23715	60561	73829	106544	47178
SL1344_0153	23946	29311	18486	28611	16326	13723	23729	29417	38914	17836
SL1344_0154	27040	39622	23870	34712	23887	12218	31006	33876	43423	25728
SL1344_0155	527	245	189	473	203	109	279	335	640	224
SL1344_0156	76	61	42	36	15	6	38	22	23	33
SL1344_0159	5112	8983	2671	2649	4022	1315	3193	3888	6002	3672
SL1344_0160	279	396	305	305	282	84	388	518	812	539
SL1344_0161	1268	1860	880	1062	784	484	1265	956	1172	712
SL1344_0162	64	102	34	41	38	13	68	52	58	51
SL1344_0163	130	176	92	100	101	42	141	111	128	56
SL1344_0164	128	246	113	113	142	35	175	101	116	95
SL1344_0165	528	631	342	541	423	301	583	396	469	363
SL1344_0166	5253	6580	5001	8890	5374	2464	8037	5060	4183	5129
SL1344_0167	3013	3793	2962	4206	2622	1143	4571	2637	1953	3054
SL1344_0168	848	800	446	652	440	82	921	412	323	605
SL1344_0169	310	587	231	261	223	115	484	194	205	254
SL1344_0170	755	1580	352	826	314	348	1516	278	152	344
SL1344_0171	2784	3431	2482	3830	2940	1282	3928	3107	3716	2096
SL1344_0172	5528	5957	3493	6227	3960	2586	7197	3801	2592	4741
SL1344_0173	1352	1864	1101	1036	896	470	669	627	818	674
SL1344_0174	196	300	162	151	143	91	87	80	131	111
SL1344_0175	99	137	74	90	53	33	115	70	66	74
SL1344_0176	55	68	34	51	40	19	88	32	16	53
SL1344_0177	24	34	7	14	8	4	11	12	8	14
SL1344_0178	24	21	19	28	20	6	25	23	9	24
SL1344_0179	18	20	10	9	9	6	21	3	20	11
SL1344_0180	579	632	337	453	360	155	590	380	366	439
SL1344_0181	183	358	192	297	236	195	342	244	249	180
SL1344_0182	469	693	491	606	459	375	715	504	475	453
SL1344_0183	356	295	246	335	270	148	306	268	209	227
SL1344_0184	505	320	229	356	192	104	331	188	104	277
SL1344_0185	4132	4747	2834	4476	3758	2147	3956	2979	3109	2816
SL1344_0186	804	988	532	738	749	260	625	422	541	719
SL1344_0187	16023	25170	12423	13539	16353	6721	16421	13504	14163	10483
SL1344_0188	344	538	257	280	254	94	353	227	177	330
SL1344_0189	68	92	45	98	50	36	61	74	47	72
SL1344_0190	1076	1824	857	1004	799	425	1177	692	703	877
SL1344_0191	5116	9021	3284	4512	3305	2018	7036	3030	3133	2698
SL1344_0192	12050	4308	4803	16307	3366	2082	8026	1947	465	3926
SL1344_0193	1092	316	388	2050	284	203	642	167	46	258
SL1344_0194	1059	286	392	2020	243	250	680	179	23	247
SL1344_0195	1373	392	507	3100	316	223	738	248	79	341
SL1344_0196	38	74	28	41	22	11	67	12	16	40
SL1344_0197	87	133	47	94	65	17	65	71	31	60
SL1344_0198	38	22	18	15	11	4	32	10	12	17
SL1344_0199	13	30	16	18	17	7	22	12	12	7
SL1344_0200	14	11	13	13	1	4	12	11	7	9
SL1344_0201	2	15	9	3	7	0	15	0	1	9
SL1344_0202	168	270	123	164	140	56	203	126	72	189
SL1344_0203	1245	2062	1320	1493	1396	721	1771	1461	1360	1177
SL1344_0204	508	783	402	444	368	144	532	350	485	364
SL1344_0205	1274	1969	1053	1301	992	684	2006	1273	1095	984
SL1344_0206	153	185	103	127	150	77	165	138	121	187
SL1344_0207	438	582	378	486	355	195	543	420	299	335
SL1344_0208	906	1168	836	1306	1038	432	1191	1028	1238	709
SL1344_0209	645	1212	501	581	513	169	748	446	425	605
SL1344_0210	1585	1891	1166	1467	1155	374	1326	1310	793	1205
SL1344_0211	675	672	298	265	439	71	257	278	338	285
SL1344_0212	516	1477	421	356	684	235	1042	559	670	442
SL1344_0213	751	858	466	551	514	134	665	387	393	491
SL1344_0214	1250	1609	1020	1365	1321	648	1633	1151	1159	1087
SL1344_0215	1932	2108	1453	2222	1371	611	1753	1150	1220	1583
SL1344_0216	1207	1329	867	1646	1090	783	1430	1171	1213	885
SL1344_0217	33446	42702	32070	40147	28194	16270	40420	30835	24584	35579
SL1344_0218	49210	65866	49894	61777	43612	28330	61181	48101	39380	49076
